266:351 0:266:351:3:3 
630:106 0:630:106:3:3 
478:263 2:478:263:2:2 
207:207 2:207:207:2:2 
690:151 2:690:151:2:2 
140:180 0:140:180:3:3 
657:486 0:657:486:3:3 
842:42 2:842:42:2:2 
678:444 0:678:444:3:3 
25:332 0:25:332:3:3 
680:16 0:680:16:3:3 
475:444 0:475:444:3:3 
40:399 2:40:399:2:2 
168:324 0:168:324:3:3 
22:35 2:22:35:2:2 
371:383 0:371:383:3:3 
408:499 0:408:499:3:3 
463:407 0:463:407:3:3 
49:455 0:49:455:3:3 
12:205 2:12:205:2:2 
70:351 0:70:351:3:3 
823:183 2:823:183:2:2 
58:383 0:58:383:3:3 
651:494 0:651:494:3:3 
173:94 0:173:94:3:3 
581:97 0:581:97:3:3 
528:115 0:528:115:3:3 
840:293 0:840:293:3:3 
567:178 2:567:178:2:2 
276:486 2:276:486:2:2 
217:170 2:217:170:2:2 
295:463 0:295:463:3:3 
11:477 3:11:477:3:3 
300:103 3:300:103:3:3 
152:172 2:152:172:2:2 
546:395 0:546:395:3:3 
504:314 0:504:314:3:3 
864:42 0:864:42:3:3 
846:494 2:846:494:2:2 
849:314 0:849:314:3:3 
152:150 0:152:150:3:3 
651:204 2:651:204:2:2 
524:342 0:524:342:3:3 
360:281 0:360:281:3:3 
324:77 0:324:77:3:3 
404:52 2:404:52:2:2 
464:247 0:464:247:3:3 
727:391 0:727:391:3:3 
873:93 0:873:93:3:3 
67:402 2:67:402:2:2 
427:10 2:427:10:2:2 
45:471 0:45:471:3:3 
67:35 2:67:35:2:2 
105:372 2:105:372:2:2 
659:423 2:659:423:2:2 
785:426 2:785:426:2:2 
42:367 0:42:367:3:3 
295:19 0:295:19:3:3 
336:64 0:336:64:3:3 
285:25 0:285:25:3:3 
803:418 2:803:418:2:2 
625:274 2:625:274:2:2 
555:167 0:555:167:3:3 
848:427 0:848:427:3:3 
557:461 0:557:461:3:3 
599:54 0:599:54:3:3 
30:343 2:30:343:2:2 
87:258 2:87:258:2:2 
143:28 2:143:28:2:2 
717:135 0:717:135:3:3 
440:205 2:440:205:2:2 
114:476 0:114:476:3:3 
721:204 2:721:204:2:2 
380:383 2:380:383:2:2 
151:189 2:151:189:2:2 
844:14 3:844:14:3:3 
792:401 0:792:401:3:3 
99:449 0:99:449:3:3 
872:223 2:872:223:2:2 
265:311 3:265:311:3:3 
673:402 2:673:402:2:2 
398:245 0:398:245:3:3 
672:63 2:672:63:2:2 
167:392 0:167:392:3:3 
8:111 2:8:111:2:2 
227:101 0:227:101:3:3 
565:277 2:565:277:2:2 
259:446 0:259:446:3:3 
478:54 2:478:54:2:2 
189:33 0:189:33:3:3 
155:113 0:155:113:3:3 
601:33 0:601:33:3:3 
620:267 0:620:267:3:3 
434:136 0:434:136:3:3 
397:20 2:397:20:2:2 
553:326 2:553:326:2:2 
644:43 0:644:43:3:3 
368:140 2:368:140:2:2 
574:172 0:574:172:3:3 
577:88 2:577:88:2:2 
596:492 2:596:492:2:2 
805:416 2:805:416:2:2 
701:426 2:701:426:2:2 
140:335 2:140:335:2:2 
491:86 0:491:86:3:3 
6:128 0:6:128:3:3 
771:424 0:771:424:3:3 
359:341 0:359:341:3:3 
207:306 0:207:306:3:3 
249:104 2:249:104:2:2 
691:65 2:691:65:2:2 
268:406 0:268:406:3:3 
269:45 0:269:45:3:3 
786:343 0:786:343:3:3 
331:473 2:331:473:2:2 
168:2 2:168:2:2:2 
4:424 2:4:424:2:2 
154:477 3:154:477:3:3 
852:52 0:852:52:3:3 
600:5 0:600:5:3:3 
875:125 2:875:125:2:2 
876:210 3:876:210:3:3 
642:310 0:642:310:3:3 
734:176 0:734:176:3:3 
899:413 2:899:413:2:2 
678:254 3:678:254:3:3 
352:478 0:352:478:3:3 
315:194 2:315:194:2:2 
50:173 0:50:173:3:3 
453:176 2:453:176:2:2 
663:477 2:663:477:2:2 
723:174 0:723:174:3:3 
373:489 0:373:489:3:3 
49:483 0:49:483:3:3 
215:474 0:215:474:3:3 
698:48 0:698:48:3:3 
490:183 2:490:183:2:2 
250:219 0:250:219:3:3 
680:155 2:680:155:2:2 
560:28 2:560:28:2:2 
348:57 0:348:57:3:3 
96:66 2:96:66:2:2 
738:497 0:738:497:3:3 
666:82 0:666:82:3:3 
116:13 3:116:13:3:3 
244:122 0:244:122:3:3 
373:410 2:373:410:2:2 
525:301 2:525:301:2:2 
174:357 2:174:357:2:2 
585:2 0:585:2:3:3 
713:213 0:713:213:3:3 
567:150 0:567:150:3:3 
35:33 2:35:33:2:2 
382:456 0:382:456:3:3 
614:151 0:614:151:3:3 
390:461 2:390:461:2:2 
489:6 3:489:6:3:3 
860:51 2:860:51:2:2 
178:75 2:178:75:2:2 
186:46 0:186:46:3:3 
744:302 3:744:302:3:3 
561:106 0:561:106:3:3 
615:315 0:615:315:3:3 
543:46 0:543:46:3:3 
674:331 2:674:331:2:2 
837:269 3:837:269:3:3 
196:155 2:196:155:2:2 
238:378 0:238:378:3:3 
813:312 3:813:312:3:3 
737:425 2:737:425:2:2 
756:499 2:756:499:2:2 
404:456 2:404:456:2:2 
522:279 2:522:279:2:2 
741:353 2:741:353:2:2 
172:156 0:172:156:3:3 
413:134 2:413:134:2:2 
548:455 0:548:455:3:3 
508:4 2:508:4:2:2 
360:23 0:360:23:3:3 
366:158 0:366:158:3:3 
771:452 2:771:452:2:2 
229:174 0:229:174:3:3 
855:110 0:855:110:3:3 
652:420 0:652:420:3:3 
695:385 0:695:385:3:3 
474:7 2:474:7:2:2 
241:272 0:241:272:3:3 
114:30 3:114:30:3:3 
85:495 0:85:495:3:3 
18:472 2:18:472:2:2 
716:263 0:716:263:3:3 
112:258 2:112:258:2:2 
631:436 0:631:436:3:3 
542:415 0:542:415:3:3 
446:48 0:446:48:3:3 
503:33 0:503:33:3:3 
158:388 0:158:388:3:3 
859:265 0:859:265:3:3 
806:272 0:806:272:3:3 
807:41 0:807:41:3:3 
748:46 2:748:46:2:2 
649:475 0:649:475:3:3 
353:284 2:353:284:2:2 
622:24 0:622:24:3:3 
56:57 2:56:57:2:2 
240:310 0:240:310:3:3 
167:479 2:167:479:2:2 
575:418 0:575:418:3:3 
227:48 3:227:48:3:3 
65:189 2:65:189:2:2 
40:4 2:40:4:2:2 
857:137 0:857:137:3:3 
307:232 2:307:232:2:2 
229:415 2:229:415:2:2 
269:261 3:269:261:3:3 
272:125 2:272:125:2:2 
655:491 2:655:491:2:2 
643:403 0:643:403:3:3 
146:233 2:146:233:2:2 
458:215 0:458:215:3:3 
60:359 0:60:359:3:3 
876:400 2:876:400:2:2 
275:24 0:275:24:3:3 
505:144 2:505:144:2:2 
805:395 2:805:395:2:2 
37:17 0:37:17:3:3 
75:162 0:75:162:3:3 
296:149 3:296:149:3:3 
630:176 2:630:176:2:2 
84:220 2:84:220:2:2 
449:427 0:449:427:3:3 
197:347 0:197:347:3:3 
89:322 0:89:322:3:3 
805:28 0:805:28:3:3 
533:339 0:533:339:3:3 
292:417 0:292:417:3:3 
611:197 2:611:197:2:2 
350:379 0:350:379:3:3 
540:223 2:540:223:2:2 
433:235 2:433:235:2:2 
46:144 0:46:144:3:3 
47:441 0:47:441:3:3 
340:437 0:340:437:3:3 
821:2 3:821:2:3:3 
487:6 0:487:6:3:3 
453:114 0:453:114:3:3 
71:455 0:71:455:3:3 
37:371 0:37:371:3:3 
476:309 0:476:309:3:3 
573:129 0:573:129:3:3 
518:348 2:518:348:2:2 
117:5 0:117:5:3:3 
652:272 0:652:272:3:3 
690:95 0:690:95:3:3 
806:478 2:806:478:2:2 
415:458 0:415:458:3:3 
571:416 2:571:416:2:2 
771:162 0:771:162:3:3 
285:339 2:285:339:2:2 
443:21 0:443:21:3:3 
444:458 2:444:458:2:2 
83:122 2:83:122:2:2 
358:128 0:358:128:3:3 
617:322 3:617:322:3:3 
258:386 0:258:386:3:3 
562:244 3:562:244:3:3 
600:319 0:600:319:3:3 
653:267 2:653:267:2:2 
106:200 2:106:200:2:2 
34:445 0:34:445:3:3 
514:115 2:514:115:2:2 
609:55 2:609:55:2:2 
367:291 0:367:291:3:3 
719:62 0:719:62:3:3 
7:402 3:7:402:3:3 
358:482 0:358:482:3:3 
585:62 0:585:62:3:3 
548:182 0:548:182:3:3 
328:81 0:328:81:3:3 
864:99 3:864:99:3:3 
367:400 0:367:400:3:3 
884:110 2:884:110:2:2 
408:201 0:408:201:3:3 
10:261 0:10:261:3:3 
104:240 0:104:240:3:3 
266:235 0:266:235:3:3 
818:428 2:818:428:2:2 
638:53 2:638:53:2:2 
589:495 0:589:495:3:3 
291:308 0:291:308:3:3 
348:291 0:348:291:3:3 
205:486 2:205:486:2:2 
614:2 2:614:2:2:2 
281:494 0:281:494:3:3 
803:337 0:803:337:3:3 
290:100 2:290:100:2:2 
664:169 0:664:169:3:3 
824:137 3:824:137:3:3 
774:210 0:774:210:3:3 
523:94 2:523:94:2:2 
618:464 0:618:464:3:3 
232:171 2:232:171:2:2 
158:183 0:158:183:3:3 
513:68 0:513:68:3:3 
343:233 2:343:233:2:2 
879:11 0:879:11:3:3 
882:349 0:882:349:3:3 
75:305 0:75:305:3:3 
320:90 3:320:90:3:3 
9:293 0:9:293:3:3 
143:182 2:143:182:2:2 
608:309 0:608:309:3:3 
624:374 0:624:374:3:3 
152:283 0:152:283:3:3 
137:457 3:137:457:3:3 
64:206 3:64:206:3:3 
858:133 0:858:133:3:3 
640:496 3:640:496:3:3 
418:482 2:418:482:2:2 
194:29 0:194:29:3:3 
303:429 2:303:429:2:2 
488:354 0:488:354:3:3 
659:18 0:659:18:3:3 
351:465 0:351:465:3:3 
399:93 3:399:93:3:3 
27:423 2:27:423:2:2 
797:215 2:797:215:2:2 
506:394 0:506:394:3:3 
434:415 0:434:415:3:3 
380:423 0:380:423:3:3 
199:157 2:199:157:2:2 
551:456 0:551:456:3:3 
459:48 0:459:48:3:3 
646:484 2:646:484:2:2 
133:319 0:133:319:3:3 
672:175 0:672:175:3:3 
636:208 0:636:208:3:3 
194:319 3:194:319:3:3 
606:488 0:606:488:3:3 
697:332 0:697:332:3:3 
483:123 0:483:123:3:3 
649:209 0:649:209:3:3 
856:299 0:856:299:3:3 
808:462 0:808:462:3:3 
237:268 0:237:268:3:3 
75:398 0:75:398:3:3 
8:182 2:8:182:2:2 
533:37 2:533:37:2:2 
472:419 0:472:419:3:3 
435:217 0:435:217:3:3 
383:183 0:383:183:3:3 
758:449 0:758:449:3:3 
26:262 2:26:262:2:2 
889:278 0:889:278:3:3 
725:248 0:725:248:3:3 
179:220 2:179:220:2:2 
877:461 0:877:461:3:3 
123:487 2:123:487:2:2 
37:134 0:37:134:3:3 
809:181 2:809:181:2:2 
421:295 0:421:295:3:3 
196:471 0:196:471:3:3 
761:204 0:761:204:3:3 
245:35 0:245:35:3:3 
373:30 0:373:30:3:3 
211:239 2:211:239:2:2 
140:145 2:140:145:2:2 
715:271 2:715:271:2:2 
643:58 0:643:58:3:3 
37:279 0:37:279:3:3 
690:311 2:690:311:2:2 
653:77 2:653:77:2:2 
701:274 2:701:274:2:2 
841:245 2:841:245:2:2 
182:431 3:182:431:3:3 
329:41 2:329:41:2:2 
516:475 0:516:475:3:3 
225:136 2:225:136:2:2 
795:260 2:795:260:2:2 
743:202 0:743:202:3:3 
780:80 0:780:80:3:3 
177:237 0:177:237:3:3 
419:56 0:419:56:3:3 
610:285 0:610:285:3:3 
663:261 0:663:261:3:3 
480:58 2:480:58:2:2 
334:389 0:334:389:3:3 
601:173 2:601:173:2:2 
286:296 0:286:296:3:3 
414:381 3:414:381:3:3 
822:366 0:822:366:3:3 
36:311 0:36:311:3:3 
556:446 0:556:446:3:3 
757:331 3:757:331:3:3 
580:308 2:580:308:2:2 
873:326 0:873:326:3:3 
675:88 0:675:88:3:3 
34:304 0:34:304:3:3 
732:159 0:732:159:3:3 
842:459 0:842:459:3:3 
789:192 0:789:192:3:3 
372:286 0:372:286:3:3 
618:18 2:618:18:2:2 
12:415 2:12:415:2:2 
766:106 0:766:106:3:3 
309:363 2:309:363:2:2 
864:254 0:864:254:3:3 
334:166 2:334:166:2:2 
135:83 0:135:83:3:3 
142:222 3:142:222:3:3 
78:219 2:78:219:2:2 
135:368 0:135:368:3:3 
263:447 0:263:447:3:3 
746:257 2:746:257:2:2 
855:417 0:855:417:3:3 
816:207 2:816:207:2:2 
575:353 2:575:353:2:2 
650:75 3:650:75:3:3 
835:77 0:835:77:3:3 
484:37 2:484:37:2:2 
394:269 0:394:269:3:3 
109:336 2:109:336:2:2 
346:2 2:346:2:2:2 
536:110 0:536:110:3:3 
275:2 0:275:2:3:3 
223:472 2:223:472:2:2 
641:334 2:641:334:2:2 
650:218 2:650:218:2:2 
688:281 0:688:281:3:3 
636:423 2:636:423:2:2 
123:220 0:123:220:3:3 
199:355 0:199:355:3:3 
75:337 2:75:337:2:2 
807:96 0:807:96:3:3 
20:310 0:20:310:3:3 
351:420 2:351:420:2:2 
509:74 2:509:74:2:2 
427:348 0:427:348:3:3 
545:81 0:545:81:3:3 
33:165 2:33:165:2:2 
416:43 0:416:43:3:3 
401:313 0:401:313:3:3 
863:281 2:863:281:2:2 
369:205 2:369:205:2:2 
228:256 0:228:256:3:3 
636:133 0:636:133:3:3 
29:337 2:29:337:2:2 
782:273 0:782:273:3:3 
217:49 2:217:49:2:2 
56:497 0:56:497:3:3 
823:119 0:823:119:3:3 
646:448 2:646:448:2:2 
388:464 0:388:464:3:3 
544:390 2:544:390:2:2 
249:384 0:249:384:3:3 
265:363 2:265:363:2:2 
711:234 0:711:234:3:3 
859:393 2:859:393:2:2 
758:259 2:758:259:2:2 
601:196 0:601:196:3:3 
231:385 0:231:385:3:3 
364:169 3:364:169:3:3 
19:453 0:19:453:3:3 
166:308 3:166:308:3:3 
61:66 2:61:66:2:2 
129:212 0:129:212:3:3 
372:489 0:372:489:3:3 
178:158 0:178:158:3:3 
203:305 0:203:305:3:3 
900:361 2:900:361:2:2 
577:492 0:577:492:3:3 
687:99 3:687:99:3:3 
84:20 2:84:20:2:2 
377:6 3:377:6:3:3 
557:236 2:557:236:2:2 
70:35 0:70:35:3:3 
531:463 0:531:463:3:3 
650:478 2:650:478:2:2 
258:185 0:258:185:3:3 
581:445 0:581:445:3:3 
88:382 0:88:382:3:3 
839:189 2:839:189:2:2 
509:498 0:509:498:3:3 
296:126 0:296:126:3:3 
774:185 0:774:185:3:3 
211:120 0:211:120:3:3 
429:209 0:429:209:3:3 
201:50 0:201:50:3:3 
741:442 2:741:442:2:2 
771:250 2:771:250:2:2 
700:204 2:700:204:2:2 
760:287 0:760:287:3:3 
444:498 2:444:498:2:2 
709:426 2:709:426:2:2 
457:25 2:457:25:2:2 
203:295 0:203:295:3:3 
396:365 0:396:365:3:3 
343:215 2:343:215:2:2 
763:456 0:763:456:3:3 
120:45 0:120:45:3:3 
192:458 2:192:458:2:2 
722:355 2:722:355:2:2 
800:434 3:800:434:3:3 
96:22 0:96:22:3:3 
849:424 3:849:424:3:3 
723:499 2:723:499:2:2 
486:383 0:486:383:3:3 
439:270 2:439:270:2:2 
253:64 0:253:64:3:3 
291:383 0:291:383:3:3 
591:168 2:591:168:2:2 
793:225 0:793:225:3:3 
853:353 2:853:353:2:2 
408:1 0:408:1:3:3 
7:107 2:7:107:2:2 
870:465 3:870:465:3:3 
256:117 2:256:117:2:2 
96:372 2:96:372:2:2 
812:90 0:812:90:3:3 
426:429 2:426:429:2:2 
262:63 0:262:63:3:3 
779:99 0:779:99:3:3 
263:274 0:263:274:3:3 
176:188 3:176:188:3:3 
604:212 2:604:212:2:2 
417:166 3:417:166:3:3 
879:466 0:879:466:3:3 
256:228 0:256:228:3:3 
827:383 0:827:383:3:3 
21:300 2:21:300:2:2 
280:234 2:280:234:2:2 
134:5 2:134:5:2:2 
483:421 2:483:421:2:2 
524:437 2:524:437:2:2 
437:298 2:437:298:2:2 
52:406 2:52:406:2:2 
751:20 2:751:20:2:2 
879:67 2:879:67:2:2 
536:475 0:536:475:3:3 
812:376 0:812:376:3:3 
542:17 0:542:17:3:3 
865:307 0:865:307:3:3 
512:68 0:512:68:3:3 
659:279 2:659:279:2:2 
327:381 0:327:381:3:3 
204:456 2:204:456:2:2 
522:37 0:522:37:3:3 
564:408 2:564:408:2:2 
527:276 0:527:276:3:3 
124:151 0:124:151:3:3 
473:409 2:473:409:2:2 
437:382 2:437:382:2:2 
670:260 0:670:260:3:3 
123:105 2:123:105:2:2 
342:181 2:342:181:2:2 
824:441 2:824:441:2:2 
313:433 0:313:433:3:3 
42:17 0:42:17:3:3 
425:175 0:425:175:3:3 
407:267 0:407:267:3:3 
108:274 3:108:274:3:3 
180:135 0:180:135:3:3 
623:413 2:623:413:2:2 
436:297 3:436:297:3:3 
679:351 0:679:351:3:3 
331:53 0:331:53:3:3 
630:395 2:630:395:2:2 
422:204 0:422:204:3:3 
214:190 3:214:190:3:3 
501:333 0:501:333:3:3 
856:372 0:856:372:3:3 
194:359 0:194:359:3:3 
503:275 0:503:275:3:3 
95:165 2:95:165:2:2 
163:258 2:163:258:2:2 
479:282 2:479:282:2:2 
304:482 2:304:482:2:2 
436:108 0:436:108:3:3 
565:389 3:565:389:3:3 
469:272 2:469:272:2:2 
554:150 0:554:150:3:3 
293:194 0:293:194:3:3 
900:446 2:900:446:2:2 
278:382 2:278:382:2:2 
397:27 2:397:27:2:2 
693:254 3:693:254:3:3 
445:263 2:445:263:2:2 
374:407 0:374:407:3:3 
40:471 2:40:471:2:2 
819:6 0:819:6:3:3 
252:386 2:252:386:2:2 
767:324 2:767:324:2:2 
236:396 0:236:396:3:3 
15:486 2:15:486:2:2 
599:52 2:599:52:2:2 
331:480 2:331:480:2:2 
188:111 0:188:111:3:3 
540:244 0:540:244:3:3 
501:16 0:501:16:3:3 
231:139 0:231:139:3:3 
363:19 0:363:19:3:3 
805:200 0:805:200:3:3 
255:1 3:255:1:3:3 
420:42 0:420:42:3:3 
600:6 0:600:6:3:3 
818:69 0:818:69:3:3 
433:161 2:433:161:2:2 
823:500 2:823:500:2:2 
454:377 0:454:377:3:3 
154:77 0:154:77:3:3 
197:41 2:197:41:2:2 
795:87 0:795:87:3:3 
898:105 3:898:105:3:3 
516:403 0:516:403:3:3 
477:297 2:477:297:2:2 
704:147 2:704:147:2:2 
282:297 3:282:297:3:3 
304:289 3:304:289:3:3 
547:383 2:547:383:2:2 
159:109 0:159:109:3:3 
372:176 0:372:176:3:3 
687:443 0:687:443:3:3 
339:297 0:339:297:3:3 
35:32 0:35:32:3:3 
182:177 0:182:177:3:3 
670:421 0:670:421:3:3 
585:223 0:585:223:3:3 
651:154 2:651:154:2:2 
48:181 2:48:181:2:2 
504:343 0:504:343:3:3 
845:329 3:845:329:3:3 
92:166 2:92:166:2:2 
898:401 2:898:401:2:2 
247:116 2:247:116:2:2 
208:427 0:208:427:3:3 
386:366 3:386:366:3:3 
855:267 2:855:267:2:2 
414:87 0:414:87:3:3 
54:238 0:54:238:3:3 
438:329 3:438:329:3:3 
585:235 2:585:235:2:2 
744:412 2:744:412:2:2 
7:220 0:7:220:3:3 
428:311 2:428:311:2:2 
765:122 2:765:122:2:2 
523:2 2:523:2:2:2 
640:330 2:640:330:2:2 
366:159 0:366:159:3:3 
204:270 0:204:270:3:3 
628:156 0:628:156:3:3 
647:396 0:647:396:3:3 
93:27 2:93:27:2:2 
707:161 2:707:161:2:2 
726:399 2:726:399:2:2 
484:110 2:484:110:2:2 
416:262 2:416:262:2:2 
555:317 0:555:317:3:3 
418:364 2:418:364:2:2 
275:461 0:275:461:3:3 
773:310 0:773:310:3:3 
132:450 2:132:450:2:2 
243:449 0:243:449:3:3 
831:192 0:831:192:3:3 
29:70 0:29:70:3:3 
640:303 2:640:303:2:2 
57:133 0:57:133:3:3 
440:123 0:440:123:3:3 
646:223 2:646:223:2:2 
389:78 0:389:78:3:3 
119:195 0:119:195:3:3 
265:112 2:265:112:2:2 
52:136 2:52:136:2:2 
857:366 2:857:366:2:2 
165:407 2:165:407:2:2 
20:494 2:20:494:2:2 
504:24 2:504:24:2:2 
778:318 0:778:318:3:3 
801:247 2:801:247:2:2 
506:375 2:506:375:2:2 
569:147 0:569:147:3:3 
165:109 2:165:109:2:2 
436:158 2:436:158:2:2 
331:64 2:331:64:2:2 
264:7 2:264:7:2:2 
509:153 2:509:153:2:2 
854:124 0:854:124:3:3 
90:281 0:90:281:3:3 
881:50 3:881:50:3:3 
682:37 3:682:37:3:3 
539:468 0:539:468:3:3 
167:431 0:167:431:3:3 
460:443 3:460:443:3:3 
155:431 0:155:431:3:3 
449:142 0:449:142:3:3 
378:28 2:378:28:2:2 
621:48 2:621:48:2:2 
108:389 0:108:389:3:3 
343:348 2:343:348:2:2 
538:121 3:538:121:3:3 
810:129 2:810:129:2:2 
776:49 0:776:49:3:3 
596:402 0:596:402:3:3 
616:432 2:616:432:2:2 
254:105 2:254:105:2:2 
819:245 2:819:245:2:2 
469:308 2:469:308:2:2 
868:170 0:868:170:3:3 
41:85 2:41:85:2:2 
297:227 0:297:227:3:3 
462:17 2:462:17:2:2 
148:350 2:148:350:2:2 
84:221 2:84:221:2:2 
658:447 0:658:447:3:3 
710:377 0:710:377:3:3 
586:315 2:586:315:2:2 
749:285 2:749:285:2:2 
294:369 2:294:369:2:2 
205:347 2:205:347:2:2 
23:50 0:23:50:3:3 
66:252 0:66:252:3:3 
852:218 2:852:218:2:2 
84:76 3:84:76:3:3 
714:199 0:714:199:3:3 
457:118 2:457:118:2:2 
719:362 2:719:362:2:2 
350:267 0:350:267:3:3 
376:386 0:376:386:3:3 
49:109 2:49:109:2:2 
197:124 0:197:124:3:3 
74:201 2:74:201:2:2 
37:451 0:37:451:3:3 
738:176 2:738:176:2:2 
315:225 0:315:225:3:3 
132:42 3:132:42:3:3 
391:332 2:391:332:2:2 
196:292 2:196:292:2:2 
268:153 2:268:153:2:2 
467:448 3:467:448:3:3 
257:168 2:257:168:2:2 
760:343 2:760:343:2:2 
443:133 3:443:133:3:3 
767:188 0:767:188:3:3 
549:457 2:549:457:2:2 
626:395 2:626:395:2:2 
630:484 2:630:484:2:2 
525:336 0:525:336:3:3 
885:479 0:885:479:3:3 
471:192 0:471:192:3:3 
552:306 0:552:306:3:3 
441:277 0:441:277:3:3 
679:265 2:679:265:2:2 
816:324 2:816:324:2:2 
262:229 0:262:229:3:3 
651:187 0:651:187:3:3 
548:262 2:548:262:2:2 
290:242 3:290:242:3:3 
301:151 2:301:151:2:2 
55:310 0:55:310:3:3 
